number,xml_index,x,y,width,height,source_type,filename,bytes,sha256
1,22,0,0,1080,1920,image/png,svg-image-001.png,81610,ed3b8cc997a54f45d74ee991e8a95c58f0da6362f886f4720f50dd07fc2754e8
2,33,0,0,1200,1796,image/png,svg-image-002.png,412912,70f5698c4a9a52278b7d9e06bc617d0e4405cb73fb3ce2267d1eb82e0eec3f2d
3,46,0,0,1200,1796,image/png,svg-image-003.png,412912,70f5698c4a9a52278b7d9e06bc617d0e4405cb73fb3ce2267d1eb82e0eec3f2d
4,62,0,0,1080,1920,image/png,svg-image-004.png,81610,ed3b8cc997a54f45d74ee991e8a95c58f0da6362f886f4720f50dd07fc2754e8
5,82,0,0,1200,1796,image/png,svg-image-005.png,412912,70f5698c4a9a52278b7d9e06bc617d0e4405cb73fb3ce2267d1eb82e0eec3f2d
6,93,0,0,1200,1796,image/png,svg-image-006.png,412912,70f5698c4a9a52278b7d9e06bc617d0e4405cb73fb3ce2267d1eb82e0eec3f2d
7,117,0,0,1524,1898,image/png,svg-image-007.png,60532,0f9148cca2a96ac9309f40754b1b4ae5703d94b8991afc4d67e3d46f0037bb62
8,123,0,0,2318,2915,image/png,svg-image-008.png,271927,e8922f458b47749a63bf0021f55168c23f54c633d90747707a07800898e2a7bc
9,129,0,0,2318,2915,image/png,svg-image-009.png,271927,e8922f458b47749a63bf0021f55168c23f54c633d90747707a07800898e2a7bc
10,137,0,0,1102,1075,image/png,svg-image-010.png,70450,66098df5d39844745761b0439727dc43d4e4b3fcde981f12913c1dc7c649e416
11,145,0,0,1046,628,image/png,svg-image-011.png,8581,9a960c374e06a9b704e7b8c5eef7ed36903cf601ad36de6edcf5e1238ecad45a
12,322,0,0,2948,1953,image/png,svg-image-012.png,71271,9f71452417e88e5a878279884641dfa3f10693ffb42c9d6c2d3a8a7507ca4c6c
13,336,0,0,278,1488,image/png,svg-image-013.png,4452,076ab391b0e80cc330e4b127b8e6c5090f734e9992b1a0245506046fa8af2379
14,422,0,0,1920,1080,image/png,svg-image-014.png,187935,8b6a8c7f4151cf1c38c5f26bf01770014dac76e97f04c4aa044509c7f311896f
15,445,0,0,1025,215,image/png,svg-image-015.png,1464,f3ffe08a63baab6814b54edbcf658965cb4a29b3a6bf6581e0e2171521c3b863
16,453,0,0,1524,1898,image/png,svg-image-016.png,60532,0f9148cca2a96ac9309f40754b1b4ae5703d94b8991afc4d67e3d46f0037bb62
17,459,0,0,1524,1898,image/png,svg-image-017.png,60532,0f9148cca2a96ac9309f40754b1b4ae5703d94b8991afc4d67e3d46f0037bb62
18,489,0,0,2017,1848,image/png,svg-image-018.png,42977,0070bb12139ab42e0715f07e5fe1812b5bac531de799047ea00ec51e0a87ba4c
19,502,0,0,1438,560,image/jpeg,svg-image-019.jpg,21932,c80c612b0b9363d50925ec384064c550f6597b3c96b27f165517b02165cc061e
20,509,0,0,1080,1920,image/png,svg-image-020.png,3502491,53aa9ceea7cb810c11a52f8af88fc10dde010ea79302febce51ceb59a40b1db4
21,516,0,0,1200,1796,image/png,svg-image-021.png,1199766,cc07ca15eb5aec99b5771fbbd01c28bf59cf7216ea6cca33f1b1ea3d8f755273
22,524,0,0,1200,1796,image/png,svg-image-022.png,1199766,cc07ca15eb5aec99b5771fbbd01c28bf59cf7216ea6cca33f1b1ea3d8f755273
23,530,0,0,1438,560,image/jpeg,svg-image-023.jpg,21932,c80c612b0b9363d50925ec384064c550f6597b3c96b27f165517b02165cc061e
24,537,0,0,1080,1920,image/png,svg-image-024.png,3502491,53aa9ceea7cb810c11a52f8af88fc10dde010ea79302febce51ceb59a40b1db4
